Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
27-Aug-22,353,1,VIC,MRC,CAUL,MEMSIE STAKES,1400,"1,000,000",3YO&Up,O,WFA,MEMSIE STAKES
27-Aug-22,597,3,VIC,MRC,CAUL,HDF MCNEIL STAKES,1200,"200,000",3-Y-O,O,SWP,H.D.F. McNEIL STAKES
27-Aug-22,694,3,VIC,MRC,CAUL,THE HEATH 1100,1100,"200,000",O,O,SWP,THE HEATH 1100
27-Aug-22,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,"200,000",4YO&Up,M,SWP,W W COCKRAM STAKES
27-Aug-22,301,4,VIC,MRC,CAUL,HEATHERLIE HANDICAP,1700,"175,000",O,O,Hcp,HEATHERLIE HANDICAP
2-Sep-22,595,4,NSW,WYNG,WYNG,WYONG GOLD CUP,2100,"200,000",O,O,Qlty,WYONG GOLD CUP
2-Sep-22,671,4,NSW,WYNG,WYNG,MONA LISA STAKES,1350,"160,000",O,F&M,SWP,MONA LISA STAKES
3-Sep-22,192,2,NSW,ATC,RAND,CHELMSFORD STAKES,1600,"250,000",3YO&Up,O,WFA,CHELMSFORD STAKES
3-Sep-22,270,2,NSW,ATC,RAND,DARLEY FURIOUS STAKES,1200,"250,000",3-Y-O,F,SW,FURIOUS STAKES
3-Sep-22,517,2,NSW,ATC,RAND,TRAMWAY STAKES,1400,"250,000",3YO&Up,O,SWP,TRAMWAY STAKES
3-Sep-22,588,3,NSW,ATC,RAND,CONCORDE STAKES,1000,"200,000",3YO&Up,O,SWP,CONCORDE STAKES
3-Sep-22,202,4,NSW,CITY TATTS,RAND,CITY TATT'S CLUB CUP,2400,"160,000",3YO&Up,O,Qlty,CITY TATT'S CLUB CUP
3-Sep-22,258,2,VIC,MVRC,THE VALLEY,FEEHAN STAKES,1600,"500,000",O,O,WFA,JOHN F FEEHAN STAKES
3-Sep-22,651,2,VIC,MVRC,THE VALLEY,MCEWEN STAKES,1000,"300,000",O,O,WFA,IAN McEWEN TROPHY
3-Sep-22,980,4,VIC,MVRC,THE VALLEY,ATLANTIC JEWEL STAKES,1200,"175,000",3-Y-O,F,SWP,ATLANTIC JEWEL STAKES
3-Sep-22,934,4,VIC,MVRC,THE VALLEY,CHAUTAUQUA STAKES,1200,"175,000",O,O,HCP,CHAUTAUQUA STAKES
3-Sep-22,682,4,QLD,BRC,E FM,MEMBERS' CUP,1350,"125,000",3YO&Up,O,Qlty,MEMBERS' CUP
10-Sep-22,257,4,WA,WATC,BLMT,FARNLEY STAKES,1400,"125,000",3YO&Up,O,Qlty,FARNLEY STKS
10-Sep-22,166,3,NSW,ATC,RHIL,MING DYNASTY QUALITY HCP,1400,"200,000",3-Y-O,O,Qlty,MING DYNASTY QUALITY HCP
10-Sep-22,663,2,NSW,ATC,RHIL,SHERACO STAKES,1200,"250,000",3YO&Up,F&M,SWP,SHERACO STAKES
10-Sep-22,704,2,NSW,ATC,RHIL,THE RUN TO THE ROSE,1200,"250,000",3-Y-O,O,SWP,THE RUN TO THE ROSE
10-Sep-22,507,2,NSW,ATC,RHIL,THEO MARKS STAKES,1300,"200,000",3YO&Up,O,Qlty,THEO MARKS STAKES
10-Sep-22,214,1,VIC,VRC,FLEM,MAKYBE DIVA STAKES,1600,"1,000,000",O,O,WFA,MAKYBE DIVA STAKES
10-Sep-22,150,2,VIC,VRC,FLEM,BOBBIE LEWIS QUALITY,1200,"300,000",4YO&Up,O,Qlty,BOBBIE LEWIS QUALITY
10-Sep-22,360,2,VIC,VRC,FLEM,LET'S ELOPE STAKES,1400,"300,000",4YO&Up,M,SWP,MILADY STAKES
10-Sep-22,739,4,VIC,VRC,FLEM,CAP D'ANTIBES STAKES,1100,"175,000",3-Y-O,F,SWP,CAP D'ANTIBES STAKES
10-Sep-22,720,4,VIC,VRC,FLEM,EXFORD PLATE,1400,"175,000",3-Y-O,O,SWP,EXFORD PLATE
