Race name,Group,Stakes[a],Age,Sex,Weight,Distance[b],Racecourse,State,Date,Winner,,YOB,DAM,SIRE,SALE,PRICE,VENDOR
South Australian Derby[486][487],1,"$1,000,000",3YO,Open,sw,2500,Morphettville,SA,2/05/2026,Wigmore,,,,,,,
Victory Stakes[586][587],2,"$300,000",3YO+,Open,wfa,1200,Eagle Farm,QLD,2/05/2026,Splash Back,,,,,,,
Northam Stakes[365][366],3,"$200,000",3YO+,Open,sw+p,1300,Northam,WA,3/05/2026,Smooth Chino,,,,,,,
A D Hollindale Stakes[3][4],2,"$500,000",3YO+,Open,wfa,1800,Gold Coast,QLD,9/05/2026,Pride Of Jenni,,,,,,,
Gold Coast Guineas[231][232],3,"$200,000",3YO,Open,sw,1200,Gold Coast,QLD,9/05/2026,Beadman,,,,,,,
Ken Russell Memorial Classic[283][284],3,"$200,000",2YO,Open,sw,1350,Gold Coast,QLD,9/05/2026,St Gotthard,,,,,,,
David Coles AM Stakes (National Stakes)[353][354],3,"$150,000",2YO,Open,sw+p,1200,Morphettville,SA,9/05/2026,Brave Hustler,,,,,,,
Proud Miss Stakes[395][396],3,"$150,000",3YO+,F&M,sw+p,1200,Morphettville,SA,9/05/2026,Naifah,,,,,,,
The Cummings Stakes (R A Lee Stakes)[410][411],3,"$220,000",Open,Open,sw+p,1600,Morphettville,SA,9/05/2026,Arran Bay,,,,,,,
SA Fillies Classic[438][439],3,"$170,000",3YO,Fillies,sw,2500,Morphettville,SA,9/05/2026,Fringes,,,,,,,
The Goodwood[536][537],1,"$1,000,000",3YO+,Open,sw+p,1200,Morphettville,SA,9/05/2026,Desert Lightning,,,,,,,
Belmont Sprint[55][56],3,"$200,000",Open,Open,wfa,1400,Belmont,WA,16/05/2026,Western Empire,,,,,,,
Chairman's Handicap (BRC)[121][122],3,"$200,000",3YO+,Open,qlty,2000,Doomben,QLD,16/05/2026,Middle Earth,,,,,,,
Champagne Classic (BRC)[129][130],2,"$300,000",2YO,Open,sw,1200,Doomben,QLD,16/05/2026,Vantorix,,,,,,,
Dark Jewel Classic[163][164],3,"$250,000",Open,F&M,qlty,1400,Scone,NSW,16/05/2026,Tuileries,,,,,,,
"Doomben 10,000[173][174]",1,"$1,500,000",3YO+,Open,wfa,1200,Doomben,QLD,16/05/2026,Rothfire,,,,,,,
Rough Habit Plate[434][435],3,"$250,000",3YO+,F&M,qlty,1200,Doomben,QLD,16/05/2026,Kilman,,,,,,,
BRC Sprint[84][85],3,"$300,000",Open,Open,qlty,1350,Doomben,QLD,23/05/2026,Abounding,,,,,,,
Doomben Cup[175][176],1,"$1,000,000",3YO+,Open,wfa,2000,Doomben,QLD,23/05/2026,Birdman,,,,,,,
The Roses (Doomben Roses)[177][178],2,"$300,000",3YO,Fillies,sw,2000,Doomben,QLD,23/05/2026,Fireball Miss,,,,,,,
Magic Millions Fillies & Mares Mile (Glenlogan Park Stakes)[227][228],3,"$200,000",Open,F&M,sw+p,1300,Doomben,QLD,23/05/2026,Pinito,,,,,,,
Fred Best Classic[205][206],3,"$300,000",3YO,Open,sw,1400,Eagle Farm,QLD,30/05/2026,Regal Award,,,,,,,
Hyperion Stakes[268],3,"$200,000",3YO+,Open,wfa,1600,Belmont,WA,30/05/2026,Western Empire,,,,,,,
Kingsford-Smith Cup[291][292],1,"$1,000,000",Open,Open,wfa,1300,Eagle Farm,QLD,30/05/2026,Headley Grange,,,,,,,
Lord Mayor's Cup[314][315],3,"$200,000",3YO+,Open,qlty,1600,Eagle Farm,QLD,30/05/2026,Athanatos,,,,,,,
Premier's Cup (BRC)[390][391],3,"$200,000",3YO+,Open,qlty,2200,Eagle Farm,QLD,30/05/2026,Alalcance,,,,,,,
Queensland Derby[401][402],1,"$1,000,000",3YO,Open,sw,2400,Eagle Farm,QLD,30/05/2026,Providence,,,,,,,
Sires' Produce Stakes (BRC)[474][475],2,"$1,000,000",2YO,Open,sw,1400,Eagle Farm,QLD,30/05/2026,Berzelius,,,,,,,
Moreton Cup (QTC Cup)[347][348],2,"$300,000",Open,Open,qlty,1200,Eagle Farm,QLD,6/06/2026,Uncommon James,,,,,,,
Queensland Oaks[405][406],1,"$700,000",3YO,Open,qlty,2400,Eagle Farm,QLD,6/06/2026,Fireball Miss,,,,,,,
