,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2023/24),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name,,,
9-Nov-23,426,G3,VIC,VRC,FLEM,RED ROSES STAKES,"1,100","303,025",3-Y-O,F,SWP,RED ROSES STAKES,,,
9-Nov-23,172,L,VIC,VRC,FLEM,CENTURY STAKES,"1,000","176,725",O,O,SWP,CENTURY STAKES,,,
11-Nov-23,627,G2,NSW,ATC,RHIL,HOT DANISH STAKES,"1,400","500,000",3YO&Up,F&M,SW,BREEDERS CLASSIC,,,
11-Nov-23,747,L,QLD,BRC,DOOM,KEITH NOUD QUALITY,"1,200","160,000",O,O,Qlty,KEITH NOUD QUALITY,,,
11-Nov-23,341,G1,VIC,VRC,FLEM,CHAMPIONS STAKES (MacKINNON),"2,000","3,010,325",O,O,WFA,LKS MACKINNON STAKES,,,
11-Nov-23,106,G1,VIC,VRC,FLEM,CHAMPIONS MILE (CANTALA),"1,600","3,005,325",O,O,WFA,CANTALA STAKES,,,
11-Nov-23,271,G1,VIC,VRC,FLEM,CHAMPIONS SPRINT,"1,200","3,005,325",O,O,WFA,VICTORIA RACING CLUB STKS,,,
11-Nov-23,639,G2,VIC,VRC,FLEM,MATRIARCH STAKES,"2,000","304,425",4YO&Up,M,SWP,MATRIARCH STAKES,,,
11-Nov-23,413,G3,VIC,VRC,FLEM,QUEEN ELIZABETH STAKES,"2,600","315,325",O,O,Qlty,VRC QUEEN ELIZABETH STAKES,,,
11-Nov-23,745,L,VIC,VRC,FLEM,MSS SECURITY SPRINT,"1,200","175,000",O,O,Hcp,ALWAYS WELCOME STAKES,,,
11-Nov-23,522,L,VIC,VRC,FLEM,THE AMANDA ELLIOTT,"1,400","178,025",3-Y-O,O,Hcp,VRC SPRINGTIME STAKES,,,
11-Nov-23,328,G2,WA,WATC,ASCT,LEE STEERE STAKES,"1,400","300,000",3YO&Up,O,WFA,LEE STEERE STKS,,,
11-Nov-23,256,L,WA,WATC,ASCT,FAIRETHA STAKES,"1,400","125,000",3-Y-O,C&G,SWP,FAIRETHA STKS,,,
11-Nov-23,114,L,WA,WATC,ASCT,LUCKYGRAY STAKES,"1,800","125,000",3YO&Up,O,Qlty,ASCOT GOLD CUP,,,
18-Nov-23,510,G1,VIC,MRC,CAUL,THOUSAND GUINEAS,"1,600","1,503,000",3-Y-O,F,SW,THE THOUSAND GUINEAS,,,
18-Nov-23,348,G1,VIC,MRC,CAUL,SIR RUPERT CLARKE STAKES,"1,400","1,002,000",O,O,Hcp,INVITATION STAKES,,,
18-Nov-23,509,G3,VIC,MRC,CAUL,THOROUGHBRED CLUB STAKES,"1,200","200,750",3-Y-O,F,SWP,THOROUGHBRED CLUB STAKES,,,
18-Nov-23,656,G3,VIC,MRC,CAUL,HOW NOW STAKES,"1,200","200,750",4YO&Up,M,SWP,HOW NOW STAKES,,,
18-Nov-23,979,G3,VIC,MRC,CAUL,BLUE SAPPHIRE STAKES,"1,200","500,500",3-Y-O,O,SW,BLUE SAPPHIRE STAKES,,,
18-Nov-23,936,L,VIC,MRC,CAUL,CAULFIELD VILLAGE STAKES,"1,200","175,000",O,O,HCP,CAULFIELD VILLAGE STAKES,,,
18-Nov-23,473,G3,NSW,NEWCASTLE JC,NCLE,SPRING STAKES,"1,600","250,000",3-Y-O,O,SW,NJC 3YO SPRING STAKES,,,
18-Nov-23,210,G3,WA,WATC,ASCT,COLONEL REEVES STAKES,"1,100","200,000",3YO&Up,O,SWP,COLONEL REEVES,,,
18-Nov-23,535,G3,WA,WATC,ASCT,R.J. PETERS STAKES,"1,500","200,000",3YO&Up,O,Hcp,R J PETERS STKS,,,
18-Nov-23,188,G3,WA,WATC,ASCT,W.A. CHAMPION FILLIES ST,"1,600","300,000",3-Y-O,F,SW,CHAMPION FILLIES,,,
18-Nov-23,489,L,WA,WATC,ASCT,PLACID ARK STAKES,"1,200","500,000",3-Y-O,O,SW,PLACID ARK STKS,,,
18-Nov-23,698,L,WA,WATC,ASCT,JUNGLE MIST CLASSIC,"1,200","125,000",3YO&Up,F&M,SWP,JUNGLE MIST CLASSIC,,,
25-Nov-23,215,L,VIC,CRANBOURNE TC,CRAN,CRANBOURNE CUP,"1,600","500,000",O,O,Hcp,CRANBOURNE CUP,,,
25-Nov-23,424,L,QLD,TATTS RC QLD,GCTC,RECOGNITION STAKES,"1,400","160,000",O,O,Qlty,RECOGNITION STAKES,,,
25-Nov-23,677,L,QLD,TATTS RC QLD,GCTC,COLIN MCALPINE CLASSIC,"1,200","160,000",3YO&Up,F&M,SWP,COLIN MCALPINE CLASSIC,,,
25-Nov-23,43,G1,WA,WATC,ASCT,RAILWAY STAKES,"1,600","1,500,000",3YO&Up,O,Qlty,RAILWAY STAKES,,,
25-Nov-23,528,G2,WA,WATC,ASCT,W.A. GUINEAS,"1,600","500,000",3-Y-O,O,SW,WA GUINEAS,,,
25-Nov-23,242,L,WA,WATC,ASCT,CARBINE OF WA STAKES,"1,400","125,000",3YO&Up,O,SWP,EASTER STKS,,,
25-Nov-23,504,L,WA,WATC,ASCT,A.J. SCAHILL CUP,"2,100","125,000",3YO&Up,O,Qlty,WATC TATTERSALL'S CUP,,,
26-Nov-23,323,L,VIC,KILMORE TC,KILM,KILMORE CUP,"1,600","200,000",O,O,Hcp,KILMORE CUP,,,
29-Nov-23,579,L,TAS,TTC,LAUN,TASMANIAN NEWMARKET HCP,"1,200","150,000",O,O,Qlty,TTC NEWMARKET HANDICAP,,,
2-Dec-23,197,L,NSW,ATC,RAND,CHRISTMAS CUP,"2,400","200,000",3YO&Up,O,Qlty,CHRISTMAS CUP,,,
2-Dec-23,260,G3,NSW,ATC,RHIL,FESTIVAL STAKES,"1,500","250,000",3YO&Up,O,Qlty,FESTIVAL STAKES,,,
2-Dec-23,654,L,NSW,ATC,RHIL,STARLIGHT STAKES,"1,100","200,000",3YO&Up,O,Qlty,STARLIGHT STAKES,,,
2-Dec-23,552,G3,QLD,BRC,DOOM,GEORGE MOORE STAKES,"1,200","200,000",O,O,Qlty,GEORGE MOORE STAKES,,,
2-Dec-23,718,L,QLD,BRC,DOOM,MODE STAKES,"1,200","160,000",3-Y-O,F,Qlty,MODE STAKES,,,
2-Dec-23,238,L,QLD,BRC,DOOM,TAILS QUALITY,"1,600","160,000",3YO&Up,O,Qlty,TAILS QUALITY,,,
2-Dec-23,450,G2,VIC,MRC,CAUL,SANDOWN GUINEAS,"1,600","301,540",3-Y-O,O,SW,SANDOWN GUINEAS,,,
2-Dec-23,449,G2,VIC,MRC,CAUL,ZIPPING CLASSIC,"2,400","751,540",O,O,WFA,ZIPPING CLASSIC,,,
2-Dec-23,243,G3,VIC,MRC,CAUL,ECLIPSE STAKES,"1,800","200,990",O,O,Qlty,ECLIPSE STAKES,,,
2-Dec-23,666,G3,VIC,MRC,CAUL,KEVIN HEFFERNAN STAKES,"1,400","200,990",O,O,WFA,KEVIN HEFFERNAN STAKES,,,
2-Dec-23,637,G3,VIC,MRC,CAUL,SUMMONED STAKES,"1,600","200,990",4YO&Up,M,SWP,SUMMONED STAKES,,,
2-Dec-23,236,L,VIC,MRC,CAUL,DOVETON STAKES,"1,000","175,000",O,O,Hcp,DOVETON STAKES,,,
2-Dec-23,356,L,VIC,MRC,CAUL,MERSON COOPER STAKES,"1,000","175,750",2-Y-O,O,SW,MERSON COOPER STAKES,,,
2-Dec-23,355,L,VIC,MRC,CAUL,TWILIGHT GLOW STAKES,"1,400","175,750",3-Y-O,F,SWP,TWILIGHT GLOW STAKES,,,
2-Dec-23,549,G1,WA,WATC,ASCT,WINTERBOTTOM STAKES,"1,200","1,500,000",3YO&Up,O,WFA,WINTERBOTTOM STKS,,,
2-Dec-23,465,L,WA,WATC,ASCT,SIR ERNEST LEE-STEERE CL,"1,400","125,000",3-Y-O,O,SWP,LEE STEERE CLASSIC,,,
2-Dec-23,649,L,WA,WATC,ASCT,JUNGLE DAWN CLASSIC,"1,400","125,000",3YO&Up,F&M,SWP,JUNGLE DAWN CLASSIC,,,
9-Dec-23,527,G2,NSW,ATC,RAND,THE INGHAM,"1,600","2,000,000",3YO&Up,O,Qlty,VILLIERS STAKES,,,
9-Dec-23,619,L,NSW,ATC,RAND,RAZOR SHARP HCP,"1,200","200,000",3YO&Up,O,Qlty,RAZOR SHARP HANDICAP,,,
9-Dec-23,267,L,NSW,ATC,RHIL,ATC CUP,"2,000","200,000",3YO&Up,O,Qlty,FRANK UNDERWOOD CUP,,,
9-Dec-23,128,L,VIC,BALLARAT TC,BRAT,BALLARAT CUP,"2,000","500,000",O,O,Hcp,BALLARAT CUP,,,
9-Dec-23,315,L,QLD,BRC,E FM,BRIBIE HANDICAP,"1,000","160,000",O,O,Qlty,BRIBIE HANDICAP,,,
9-Dec-23,678,L,QLD,BRC,E FM,CALAWAY GAL STAKES,"1,000","200,000",2-Y-O,F,SW,CALAWAY GAL STAKES,,,
9-Dec-23,664,L,QLD,BRC,E FM,JUST NOW QUALITY,"1,300","160,000",3YO&Up,O,Qlty,JUST NOW QUALITY,,,
9-Dec-23,359,L,QLD,BRC,E FM,PHELAN READY STAKES,"1,000","200,000",2-Y-O,C&G,SW,PHELAN READY STAKES,,,
9-Dec-23,29,L,SA,SAJC,MORP,CHRISTMAS HANDICAP,"1,200","120,000",O,O,Qlty,CHRISTMAS HANDICAP,,,
9-Dec-23,438,G1,WA,WATC,ASCT,NORTHERLY STAKES,"1,800","1,500,000",3YO&Up,O,WFA,KINGSTON TOWN CLASSIC,,,
9-Dec-23,516,L,WA,WATC,ASCT,G.A. TOWTON CUP,"2,200","125,000",3YO&Up,O,Qlty,G.A. TOWTON CUP,,,
13-Dec-23,218,L,TAS,TTC,LAUN,CONQUERING STAKES,"1,400","125,000",O,O,WFA,PREMIUM STAKES,,,
13-Dec-23,941,LR,NSW,WYONG RC,WYNG,MAGIC MILLIONS WYONG 2YO CLASSIC,"1,100","200,000",2-Y-O,O,SW,MAGIC MILLIONS WYONG 2YO CLASSIC,,,
16-Dec-23,940,LR,NSW,ATC,RAND,INGLIS NURSERY,"1,000","500,000",2-Y-O,O,SW,INGLIS NURSERY,,,
16-Dec-23,288,G3,QLD,BRC,E FM,GRAND PRIX STAKES,"2,100","300,000",3-Y-O,O,SW,GRAND PRIX STAKES,,,
16-Dec-23,732,L,QLD,BRC,E FM,GOLD EDITION PLATE,"1,200","200,000",3-Y-O,O,SW,GOLD EDITION PLATE,,,
16-Dec-23,235,L,QLD,BRC,E FM,LOUGH NEAGH STAKES,"1,400","200,000",O,O,Qlty,LOUGH NEAGH STAKES,,,
16-Dec-23,451,G3,WA,WATC,ASCT,THE GOLD RUSH,"1,400","1,500,000",3YO&Up,O,WFA,A J SCAHILL STKS,,,
16-Dec-23,614,L,WA,WATC,ASCT,STARSTRUCK CLASSIC,"1,600","125,000",3YO&Up,F&M,SWP,STARSTRUCK CLASSIC,,,
20-Dec-23,645,L,VIC,VRC,FLEM,KENSINGTON STAKES,"1,000","175,000",O,O,Hcp,KENSINGTON STAKES,,,
20-Dec-23,118,L,WA,WATC,ASCT,A.T.A. STAKES,"2,200","125,000",3YO&Up,O,Qlty,A.T.A STAKES,,,
23-Dec-23,558,G3,QLD,BRC,E FM,BJ MCLACHLAN STAKES,"1,200","300,000",2-Y-O,O,SW,BJ MCLACHLAN STAKES,,,
23-Dec-23,142,L,QLD,BRC,E FM,BERNBOROUGH HANDICAP,"1,600","200,000",O,O,SWP,BERNBOROUGH HANDICAP,,,
23-Dec-23,681,L,QLD,BRC,E FM,FALVELON QUALITY,"1,200","200,000",O,O,Qlty,FALVELON QUALITY,,,
23-Dec-23,213,G2,WA,WATC,ASCT,TED VAN HEEMST STAKES,"2,100","300,000",3YO&Up,O,WFA,C B COX STKS,,,
26-Dec-23,488,G3,NSW,ATC,RAND,SUMMER CUP,"2,000","250,000",3YO&Up,O,Qlty,SUMMER CUP,,,
26-Dec-23,198,L,VIC,MRC,CAUL,CHRISTMAS STAKES,"1,200","175,000",O,O,Hcp,CHRISTMAS STAKES,,,
26-Dec-23,311,L,VIC,MRC,CAUL,LORD STAKES,"1,700","175,000",O,O,Hcp,LORD STAKES,,,
28-Dec-23,134,G3,NSW,GOSFORD RC LTD,GOSF,BELLE OF THE TURF STAKES,"1,600","300,000",3YO&Up,F&M,Qlty,BELLE OF THE TURF STAKES,,,
28-Dec-23,285,L,NSW,GOSFORD RC LTD,GOSF,GOSFORD GUINEAS,"1,200","200,000",3-Y-O,O,SWP,GOSFORD GUINEAS,,,
29-Dec-23,501,L,TAS,TRC,HOB,TASMANIAN STAKES,"1,600","125,000",O,O,WFA,TASMANIAN STAKES,,,
30-Dec-23,705,G3,QLD,BRC,DOOM,VO ROGUE PLATE,"1,350","300,000",3-Y-O,O,SW,VO ROGUE PLATE,,,
30-Dec-23,706,L,QLD,BRC,DOOM,NUDGEE QUALITY,"1,200","200,000",O,F&M,SWP,NUDGEE QUALITY,,,
1-Jan-24,621,L,NSW,ATC,CANT,CANTERBURY SPRINT,"1,200","200,000",3YO&Up,O,Qlty,CHRISTMAS CLASSIC,,,
1-Jan-24,125,L,VIC,VRC,FLEM,BAGOT HANDICAP,"2,800","200,000",O,O,Hcp,BAGOT HANDICAP,,,
1-Jan-24,194,L,VIC,VRC,FLEM,CHESTER MANIFOLD STAKES,"1,400","175,000",O,O,Hcp,CHESTER MANIFOLD STAKES,,,
1-Jan-24,44,G2,WA,WATC,ASCT,PERTH CUP,"2,400","1,000,000",3YO&Up,O,Qlty,PERTH CUP,,,
1-Jan-24,699,G3,WA,WATC,ASCT,LA TRICE CLASSIC,"1,800","200,000",2YO&Up,F&M,SWP,LA TRICE CLASSIC,,,
1-Jan-24,700,L,WA,WATC,ASCT,SUMMER SCORCHER,"1,000","125,000",2YO&Up,O,Qlty,SUMMER SCORCHER,,,
5-Jan-24,499,L,TAS,TRC,HOB,TASMANIAN GUINEAS,"1,600","125,000",3-Y-O,O,SW,TASMANIAN GUINEAS,,,
6-Jan-24,502,L,NSW,ATC,RAND,JANUARY CUP,"2,000","200,000",3YO&Up,O,Qlty,TATTERSALLS CLUB CUP,,,
6-Jan-24,974,L,VIC,GEELONG RC,GEEL,BLACK PEARL STAKES,"1,200","200,000",3YO&Up,F&M,SWP,BLACK PEARL,,,
13-Jan-24,749,LR,QLD,GOLD COAST TC,GCTC,MAGIC MILLIONS 2YO CLASSIC,"1,200","3,000,000",2-Y-O,O,SW,MAGIC MILLIONS 2YO CLASSIC,,,
13-Jan-24,750,LR,QLD,GOLD COAST TC,GCTC,MAGIC MILLIONS 3YO GUINEAS,"1,400","3,000,000",3-Y-O,O,SWP,MAGIC MILLIONS 3YO GUINEAS,,,
13-Jan-24,770,LR,QLD,GOLD COAST TC,GCTC,MAGIC MILLIONS CUP,"1,400","1,000,000",O,O,Qlty,MAGIC MILLIONS CUP,,,
13-Jan-24,480,G3,VIC,VRC,FLEM,STANDISH HANDICAP,"1,200","200,000",O,O,Hcp,STANDISH HANDICAP,,,
13-Jan-24,633,L,WA,WATC,ASCT,MISS ANDRETTI STAKES,"1,100","125,000",2YO&Up,O,Qlty,RUABON SPRINT,,,
20-Jan-24,175,L,NSW,ATC,RHIL,CARRINGTON STAKES,"1,400","200,000",3YO&Up,O,Qlty,CARRINGTON STAKES,,,
21-Jan-24,497,L,TAS,TRC,HOB,ELWICK STAKES,"1,100","125,000",2-Y-O,O,SW,ELWICK STAKES,,,
26-Jan-24,109,L,NSW,ATC,WFARM,AUSTRALIA DAY CUP,"2,400","200,000",3YO&Up,O,Qlty,AUSTRALIA DAY CUP,,,
26-Jan-24,448,G3,VIC,MRC,CAUL,BLUE DIAMOND PREVIEW (F),"1,000","200,000",2-Y-O,F,SWP,BLUE DIAMOND PREVIEW FILLY,,,
26-Jan-24,447,L,VIC,MRC,CAUL,BLUE DIAMOND PREVIEW (C&G),"1,000","200,000",2-Y-O,C&G,SWP,BLUE DIAMOND PREVIEW C&G,,,
26-Jan-24,130,L,VIC,MRC,CAUL,JOHN DILLON STAKES,"1,400","175,000",O,O,Hcp,BARTON STAKES,,,
26-Jan-24,303,L,VIC,MRC,CAUL,W. J. (BILL) ADAMS STAKES,"1,000","175,000",O,O,Hcp,W J ADAMS STAKES,,,
26-Jan-24,452,G3,VIC,MRC,CAUL,MANFRED STAKES,"1,200","200,000",3-Y-O,O,SWP,MANFRED STAKES,,,
26-Jan-24,608,L,TAS,TRC,LAUN,LAUNCESTON GUINEAS,"2,100","125,000",3-Y-O,O,SW&P,LAUNCESTON GUINEAS,,,
27-Jan-24,559,G2,VIC,MVRC,THE VALLEY,AUSTRALIA STAKES,"1,200","300,000",O,O,WFA,STANLEY WOOTTON STAKES,,,
27-Jan-24,372,L,SA,SAJC,MORP,DURBRIDGE STAKES,"1,100","120,000",O,O,WFA,DURBRIDGE STAKES,,,
27-Jan-24,679,L,QLD,SUN COAST TC,SCST,SUNSHINE COAST CUP,"1,400","160,000",O,O,SW,SUNSHINE COAST CUP,,,
27-Jan-24,122,L,WA,WATC,ASCT,SCENIC BLAST STAKES,"1,200","125,000",2YO&Up,O,Qlty,AUSTRALIA DAY STKS,,,
3-Feb-24,162,G3,NSW,ATC,RHIL,CANONBURY STAKES,"1,100","250,000",2-Y-O,C&G,SWP,CANONBURY STAKES,,,
3-Feb-24,254,G2,NSW,ATC,RHIL,EXPRESSWAY STAKES,"1,200","300,000",3YO&Up,O,WFA,EXPRESSWAY STAKES,,,
3-Feb-24,542,G3,NSW,ATC,RHIL,WIDDEN STAKES,"1,100","250,000",2-Y-O,F,SWP,WIDDEN STAKES,,,
3-Feb-24,584,G3,VIC,MRC,CAUL,CHAIRMAN'S STAKES,"1,000","200,000",2-Y-O,O,SWP,MRC CHAIRMAN'S STAKES,,,
3-Feb-24,661,G3,VIC,MRC,CAUL,GEOFFREY BELMAINE STAKES,"1,200","200,000",4YO&Up,M,SWP,GEOFFREY BELMAINE STAKES,,,
4-Feb-24,734,L,WA,BUNBURY RC,BUNB,WESTERN AUSTRALIAN BREEDERS' CLASSIC,"1,200","125,000",3-Y-O,O,SWP,SOUTH WEST BREEDERS' CLASSIC,,,
9-Feb-24,692,G3,TAS,TRC,HOB,MYSTIC JOURNEY STAKES,"1,200","150,000",3YO&UP,F&M,WFA,BOW MISTRESS TROPHY,,,
9-Feb-24,498,L,TAS,TRC,HOB,TASMANIAN DERBY,"2,200","150,000",3-Y-O,O,SW,TASMANIAN DERBY,,,
10-Feb-24,251,G3,NSW,ATC,RAND,ESKIMO PRINCE STAKES,"1,200","250,000",3-Y-O,O,SWP,ESKIMO PRINCE STKS,,,
10-Feb-24,942,LR,NSW,ATC,RAND,INGLIS MILLENNIUM,"1,200","2,000,000",2-Y-O,O,SW,INGLIS MILLENNIUM,,,
10-Feb-24,962,L,NSW,ATC,RAND,LONHRO PLATE,"1,100","200,000",2-Y-O,O,SWP,LONHRO PLATE,,,
10-Feb-24,393,G1,VIC,MRC,CAUL,C.F. ORR STAKES,"1,400","750,000",O,O,WFA,C.F. ORR STAKES,,,
10-Feb-24,124,G2,VIC,MRC,CAUL,AUTUMN STAKES,"1,400","300,000",3-Y-O,O,SWP,AUTUMN STAKES,,,
10-Feb-24,179,G2,VIC,MRC,CAUL,BLUE DIAMOND PRELUDE (F),"1,100","300,000",2-Y-O,F,SW,BLUE DIAMOND PRELUDE FLLY,,,
10-Feb-24,576,G2,VIC,MRC,CAUL,RUBITON STAKES,"1,100","300,000",O,O,SWP,RUBITON STAKES,,,
10-Feb-24,178,G3,VIC,MRC,CAUL,BLUE DIAMOND PRELUDE (C&G),"1,100","300,000",2-Y-O,C&G,SW,BLUE DIAMOND PRELUDE (C&G),,,
10-Feb-24,170,G3,VIC,MRC,CAUL,CARLYON CUP,"1,600","200,000",O,O,SWP,T S CARLYON CUP,,,
10-Feb-24,316,G3,VIC,MRC,CAUL,KEVIN HAYES STAKES,"1,200","200,000",3-Y-O,F,SWP,BORONIA STAKES,,,
10-Feb-24,900,L,SA,SAJC,MORP,JAPAN TROPHY (Rotational) Replaces: PREMIER PLATE,"2,000","120,000",3YO&Up,O,Qlty,JAPAN TROPHY,,,
10-Feb-24,220,L,WA,WATC,ASCT,CYRIL FLOWER STAKES,"1,200","125,000",2YO&Up,O,Qlty,CYRIL FLOWER STKS,,,
11-Feb-24,487,L,TAS,TRC,HOB,STRUTT STAKES,"2,100","125,000",3-Y-O,F,SW&P,STRUTT STAKES,,,
11-Feb-24,40,G3,TAS,TRC,HOB,HOBART CUP,"2,400","300,000",O,O,Hcp,HOBART CUP,,,
11-Feb-24,247,L,TAS,TRC,HOB,THOMAS LYONS STAKES,"1,400","125,000",O,O,WFA,THOMAS LYONS STAKES,,,
16-Feb-24,742,L,VIC,MVRC,THE VALLEY,MV NIGHT CUP,"2,500","200,000",O,O,Hcp,MV NIGHT CUP,,,
17-Feb-24,112,G2,NSW,ATC,RAND,APOLLO STAKES,"1,400","300,000",3YO&Up,O,WFA,APOLLO STAKES,,,
17-Feb-24,268,G3,NSW,ATC,RAND,SOUTHERN CROSS STAKES,"1,200","250,000",3YO&Up,O,Qlty,SOUTHERN CROSS STAKES,,,
17-Feb-24,330,G2,NSW,ATC,RAND,LIGHT FINGERS STAKES,"1,200","300,000",3-Y-O,F,SW,LIGHT FINGERS STAKES,,,
17-Feb-24,629,G3,NSW,ATC,RAND,TRISCAY STAKES,"1,200","250,000",4YO&Up,M,Qlty,TRISCAY STAKES,,,
17-Feb-24,944,LR,WA,PINJARRA RC,PINJ,MAGIC MILLIONS WA 2YO CLASSIC,"1,200","250,000",2-Y-O,O,SW,MAGIC MILLIONS PERTH 2YO CLASSIC,,,
17-Feb-24,943,LR,WA,PINJARRA RC,PINJ,MAGIC MILLIONS WA 3YO TROPHY,"1,200","250,000",3-Y-O,O,SW,MAGIC MILLIONS 3YO TROPHY,,,
17-Feb-24,332,G1,VIC,VRC,FLEM,BLACK CAVIAR LIGHTNING STAKES,"1,000","1,000,000",O,O,WFA,VRC LIGHTNING STAKES,,,
17-Feb-24,226,G3,VIC,VRC,FLEM,CS HAYES STAKES,"1,400","200,000",3-Y-O,C&G,SWP,THE DEBONAIR,,,
17-Feb-24,524,G3,VIC,VRC,FLEM,THE VANITY,"1,400","200,000",3-Y-O,F,SWP,THE VANITY,,,
17-Feb-24,265,G3,VIC,VRC,FLEM,FRANCES TRESSADY STAKES,"1,400","200,000",3YO&Up,F&M,SWP,FRANCES TRESSADY STAKES,,,
17-Feb-24,496,L,VIC,VRC,FLEM,TALINDERT STAKES,"1,100","175,000",2-Y-O,O,SWP,TALINDERT STAKES,,,
17-Feb-24,329,L,VIC,VRC,FLEM,THE ELMS HANDICAP,"1,400","175,000",O,O,Hcp,VRC MARCH STAKES,,,
18-Feb-24,185,L,WA,WATC,ASCT,CHALLENGE STAKES,"1,500","125,000",3-Y-O,O,SWP,WATC CHALLENGE STKS,,,
24-Feb-24,25,G2,NSW,ATC,RHIL,SILVER SLIPPER STAKES,"1,100","300,000",2-Y-O,O,SW,SILVER SLIPPER STAKES,,,
24-Feb-24,310,G2,NSW,ATC,RHIL,HOBARTVILLE STAKES,"1,400","400,000",3-Y-O,O,SW,HOBARTVILLE STAKES,,,
24-Feb-24,397,L,NSW,ATC,RHIL,PARRAMATTA CUP,"1,900","200,000",3YO&Up,O,Qlty,PARRAMATTA CUP,,,
24-Feb-24,647,G2,NSW,ATC,RHIL,MILLIE FOX STAKES,"1,300","300,000",3YO&Up,F&M,SWP,MILLIE FOX STAKES,,,
24-Feb-24,21,G1,VIC,MRC,CAUL,BLUE DIAMOND STAKES,"1,200","1,500,000",2-Y-O,O,SW,BLUE DIAMOND STAKES,,,
24-Feb-24,17,G1,VIC,MRC,CAUL,FUTURITY STAKES,"1,400","750,000",O,O,WFA,FUTURITY STAKES,,,
24-Feb-24,387,G1,VIC,MRC,CAUL,OAKLEIGH PLATE,"1,100","750,000",O,O,Hcp,OAKLEIGH PLATE,,,
24-Feb-24,518,G2,VIC,MRC,CAUL,ANGUS ARMANASCO STAKES,"1,400","300,000",3-Y-O,F,SW,ANGUS ARMANASCO STAKES,,,
24-Feb-24,180,G2,VIC,MRC,CAUL,CAULFIELD AUTUMN CLASSIC,"1,800","300,000",3-Y-O,O,SW,CAULFIELD AUTUMN CLASSIC,,,
24-Feb-24,474,G2,VIC,MRC,CAUL,PETER YOUNG STAKES,"1,800","300,000",O,O,WFA,PETER YOUNG STAKES,,,
24-Feb-24,562,G3,VIC,MRC,CAUL,MANNERISM STAKES,"1,400","200,000",4YO&Up,M,SWP,MANNERISM STAKES,,,
24-Feb-24,563,G3,VIC,MRC,CAUL,ZEDITAVE STAKES,"1,200","200,000",3-Y-O,O,SWP,ZEDITAVE STAKES,,,
24-Feb-24,665,L,VIC,MRC,CAUL,VICTORIA GOLD CUP,"2,000","175,000",O,O,Qlty,MORNINGTON CUP PRELUDE,,,
24-Feb-24,541,G3,SA,SAJC,MORP,LORD REIMS STAKES,"2,600","150,000",O,O,SWP,LORD REIMS STAKES,,,
24-Feb-24,201,L,SA,SAJC,MORP,CITY OF MARION STAKES,"1,200","120,000",O,O,Qlty H,CITY OF MARION STAKES,,,
24-Feb-24,199,L,SA,SAJC,MORP,CINDERELLA STAKES,"1,050","120,000",2-Y-O,F,SW,CINDERELLA STAKES,,,
24-Feb-24,596,L,WA,WATC,ASCT,DETONATOR STAKES,"1,800","125,000",2YO&Up,O,SWP,DETONATOR HCP,,,
25-Feb-24,701,L,WA,PINJARRA RC,PINJ,PINJARRA CLASSIC,"1,300","150,000",2YO&Up,O,Qlty,PINJARRA STKS,,,
25-Feb-24,282,L,TAS,TTC,LAUN,GOLD SOVEREIGN STAKES,"1,200","150,000",2-Y-O,O,SW,GOLD SOVEREIGN STAKES,,,
25-Feb-24,500,L,TAS,TTC,LAUN,TASMANIAN OAKS,"2,100","150,000",3-Y-O,F,SW,TASMANIAN OAKS,,,
28-Feb-24,41,G3,TAS,TTC,LAUN,LAUNCESTON CUP,"2,400","300,000",O,O,Hcp,LAUNCESTON CUP,,,
28-Feb-24,709,G3,TAS,TTC,LAUN,VAMOS STAKES,"1,400","150,000",3YO&Up,F&M,WFA,VAMOS STAKES,,,
28-Feb-24,374,L,TAS,TTC,LAUN,HELLOVA STREET STAKES,"1,600","125,000",O,O,WFA,MOWBRAY STAKES,,,
29-Feb-24,539,L,VIC,PAKENHAM RC,PAK,PAKENHAM CUP,"2,500","300,000",O,O,Hcp,PAKENHAM CUP,,,
1-Mar-24,740,L,VIC,MVRC,THE VALLEY,ABELL STAKES,"1,200","175,000",O,O,Hcp,MOONEE VALLEY QUALITY,,,
2-Mar-24,195,G1,NSW,ATC,RAND,CHIPPING NORTON STAKES,"1,600","1,000,000",3YO&Up,O,WFA,CHIPPING NORTON STAKES,,,
2-Mar-24,336,G3,NSW,ATC,RAND,LIVERPOOL CITY CUP,"1,300","250,000",3YO&Up,O,Qlty,LIVERPOOL CITY CUP,,,
2-Mar-24,468,G2,NSW,ATC,RAND,SKYLINE STAKES,"1,200","300,000",2-Y-O,C&G,SW,SKYLINE STAKES,,,
2-Mar-24,493,G1,NSW,ATC,RAND,SURROUND STAKES,"1,400","750,000",3-Y-O,F,SW,SURROUND STAKES,,,
2-Mar-24,494,G2,NSW,ATC,RAND,SWEET EMBRACE STAKES,"1,200","300,000",2-Y-O,F,SW,SWEET EMBRACE STAKES,,,
2-Mar-24,628,G2,NSW,ATC,RAND,GUY WALTER STAKES,"1,400","300,000",4YO&Up,M,SWP,GUY WALTER STAKES,,,
