,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2023/24),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name,,,
9-Sep-23,980,L,VIC,MVRC,THE VALLEY,MUSK CREEK FARM ATLANTIC JEWEL STAKES,"1,200","175,000",3-Y-O,F,SWP,ATLANTIC JEWEL STAKES,,,
9-Sep-23,257,L,WA,WATC,BLMT,FARNLEY STAKES,"1,400","125,000",3YO&Up,O,Qlty,FARNLEY STKS,,,
13-Sep-23,568,L,SA,BALAKLAVA RC,BKVA,BALAKLAVA CUP,"1,600","120,000",O,O,Qlty,BALAKLAVA CUP,,,
15-Sep-23,160,G3,NSW,NEWCASTLE JC,NCLE,CAMERON HCP,"1,500","250,000",O,O,Hcp,CAMERON HANDICAP,,,
15-Sep-23,381,G3,NSW,NEWCASTLE JC,NCLE,NEWCASTLE GOLD CUP,"2,300","300,000",3YO&Up,O,Hcp,NEWCASTLE GOLD CUP,,,
15-Sep-23,672,G3,NSW,NEWCASTLE JC,NCLE,TIBBIE STAKES,"1,400","250,000",O,F&M,SWP,TIBBIE STAKES,,,
16-Sep-23,324,G3,NSW,ATC,RAND,KINGSTON TOWN STAKES,"2,000","250,000",3YO&Up,O,SWP,KINGSTON TOWN STAKES,,,
16-Sep-23,457,G2,NSW,ATC,RAND,THE SHORTS,"1,100","1,000,000",3YO&Up,O,SWP,THE SHORTS,,,
16-Sep-23,506,G2,NSW,ATC,RAND,DARLEY TEA ROSE STAKES,"1,400","300,000",3-Y-O,F,SW,TEA ROSE STAKES,,,
16-Sep-23,582,G3,NSW,ATC,RAND,BILL RITCHIE HANDICAP,"1,400","250,000",3YO&Up,O,Qlty,BILL RITCHIE HANDICAP,,,
16-Sep-23,550,L,SA,SAJC,MORP,W H WYLIE HANDICAP,"1,100","120,000",O,O,Qlty,W H WYLIE HANDICAP,,,
16-Sep-23,214,G1,VIC,VRC,FLEM,PFD FOOD SERVICES MAKYBE DIVA STAKES,"1,600","752,100",O,O,WFA,MAKYBE DIVA STAKES,,,
16-Sep-23,150,G2,VIC,VRC,FLEM,BOBBIE LEWIS QUALITY,"1,200","301,700",4YO&Up,O,Qlty,BOBBIE LEWIS QUALITY,,,
16-Sep-23,360,G2,VIC,VRC,FLEM,FURPHY LET'S ELOPE STAKES,"1,400","301,700",4YO&Up,M,SWP,MILADY STAKES,,,
16-Sep-23,739,L,VIC,VRC,FLEM,CAP D'ANTIBES STAKES,"1,100","176,000",3-Y-O,F,SWP,CAP D'ANTIBES STAKES,,,
16-Sep-23,720,L,VIC,VRC,FLEM,EXFORD PLATE,"1,400","176,000",3-Y-O,O,SWP,EXFORD PLATE,,,
16-Sep-23,205,L,VIC,VRC,FLEM,POSEIDON STAKES,"1,100","176,000",C&G,O,SWP,POSEIDON STAKES,,,
16-Sep-23,933,L,VIC,VRC,FLEM,THE SOFITEL,"1,400","176,000",4YO&Up,O,HCP,TONTONAN STAKES,,,
23-Sep-23,209,G3,NSW,ATC,RHIL,COLIN STEPHEN QUALITY,"2,400","250,000",3YO&Up,O,Qlty,COLIN STEPHEN QLTY HCP,,,
23-Sep-23,454,G2,NSW,ATC,RHIL,SHANNON STAKES,"1,500","300,000",3YO&Up,O,Qlty,SHANNON STAKES,,,
23-Sep-23,464,L,NSW,ATC,RHIL,HERITAGE STAKES,"1,100","200,000",3-Y-O,O,SWP,HERITAGE STAKES,,,
23-Sep-23,653,G2,NSW,ATC,RHIL,GOLDEN PENDANT,"1,400","400,000",3YO&Up,F&M,SWP,GOLDEN PENDANT,,,
23-Sep-23,670,G1,NSW,ATC,RHIL,GOLDEN ROSE STAKES,"1,400","1,000,000",3-Y-O,O,SW,GOLDEN ROSE STAKES,,,
23-Sep-23,521,G1,VIC,MRC,CAUL,UNDERWOOD STAKES,"1,800","752,000",3YO&Up,O,WFA,UNDERWOOD STAKES,,,
23-Sep-23,458,G3,VIC,MRC,CAUL,NEDS CAULFIELD GUINEAS PRELUDE,"1,400","300,990",3-Y-O,C&G,SWP,CAULFIELD GUINEAS PRELUDE,,,
23-Sep-23,440,G3,VIC,MRC,CAUL,NATURALISM STAKES,"2,000","200,990",O,O,Qlty,NATURALISM STAKES,,,
23-Sep-23,981,L,VIC,MRC,CAUL,JIM MOLONEY STAKES,"1,400","175,750",3-Y-O,F,SWP,JIM MOLONEY STAKES,,,
23-Sep-23,721,L,VIC,MRC,CAUL,TESTA ROSSA STAKES,"1,400","175,750",O,O,Hcp,TESTA ROSSA STAKES,,,
23-Sep-23,538,L,QLD,TTC,TWBA,TOOWOOMBA WEETWOOD HANDICAP,"1,200","160,000",O,0,Qlty,WEETWOOD HANDICAP,,,
24-Sep-23,609,L,WA,KALG-BOU RC,KALG,BOULDER CUP,"2,100","125,000",3YO&Up,O,Qlty,BOULDER CUP,,,
29-Sep-23,363,G1,VIC,MVRC,THE VALLEY,CHARTER KECK CRAMMER MOIR STAKES,"1,000","754,000",O,O,WFA,A.J. MOIR STAKES,,,
29-Sep-23,599,G2,VIC,MVRC,THE VALLEY,STOCKS STAKES,"1,600","301,500",4YO&Up,M,WFA,W H STOCKS STAKES,,,
29-Sep-23,369,G2,VIC,MVRC,THE VALLEY,ENTRY EDUCATION STUTT STAKES,"1,600","301,500",3-Y-O,O,SW,MOONEE VALLEY STAKES,,,
29-Sep-23,525,G3,VIC,MVRC,THE VALLEY,SCARBOROUGH STAKES,"1,200","201,000",3-Y-O,F,SW,MV CHAMPAGNE STAKES,,,
